1808,1522,1119,1001
1689,116,6133,1225
266,1025,119,138
3149,10969,329,855
19,2764,5,5
429,1156,406,258
1700,1023,609,546
2220,969,95,444
160,219,100,49
16089,9338,5045,4997
275,246,114,101
53,0,0,5
642,413,192,172
2330,1803,698,787
52,231,29,16
437,440,185,192
367,336,232,132
360,273,141,111
872,1450,198,746
376,27,49,288
2107,751,361,794
690,507,146,252
629,405,342,301
1126,1665,453,296
1,131,0,1
7,26,5,6
672,480,332,328
49,104,21,12
315,442,118,117
17,45,5,13
1223,2653,103,313
2969,2738,1216,1303
172,290,86,60
1115,650,673,440
9,3,7,5
1616,643,571,730
636,529,306,189
2776,5977,1458,1081
2289,7199,3099,1267
2333,6337,252,605
35,209,7,9
85,122,72,38
8,40,1,2
497,1833,74,130
2170,1017,1523,894
122,217,86,54
7855,6112,13633,4278
88,45,54,42
5,12,5,6
94,9,16,20
15,3,8,6
428,674,43,51
413,895,294,183
1184,891,608,358
3208,2856,1484,1058
6775,2141,11557,3634
338,96,210,111
98,86,35,34
1568,2802,1012,751
147,230,59,48
52,36,19,16
875,833,381,360
5,34,2,1
613,502,346,239
362,1276,99,133
1178,1057,843,563
92,56,126,69
64893,20474,125468,32267
451,59,1078,233
16,1,36,9
157,28,395,89
142,316,130,82
684,798,568,458
7,31,17,4
1616,1739,613,445
5948,3711,1391,2263
448,272,277,197
6107,5860,2268,1933
1193,962,822,333
12738,9127,5669,3922
1701,129,233,836
89,3702,2,14
1,71,0,0
287,521,102,114
2443,3942,335,439
345,423,198,193
32424,18025,31641,15622
380,385,279,116
294,284,299,111
15892,15684,2725,5172
1515,1876,695,575
1112,16547,163,272
2329,3930,953,685
4,102,1,0
1132,1600,441,431
5110,4474,1392,1650
5,51,15,9
7,52,21,17
537,293,129,242
2002,1889,684,575
25105,5638,2066,3930
282,281,74,84
41,383,1,18
615,370,722,368
6,20,17,7
8,15,2,3
656,721,254,231
543,541,173,180
15,13,8,4
21,265,12,5
6023,11519,19785,3543
47,118,179,22
1811,1462,755,604
50,308,299,61
2019,34400,1298,573
625,804,223,234
13436,11624,5304,4464
1136,3,30,361
4119,703,332,1451
2020,1293,1322,899
6952,7055,2068,2610
39728,29958,8253,10602
147,194,58,58
29,592,12,26
2,128,0,0
30,1456,1,5
379,373,458,170
2157,456,2206,1037
1517,6230,386,322
3,206,0,1
791,1193,244,228
1574,2135,756,560
2276,1736,891,739
34,38,15,17
4841,9663,2120,1275
1782,1442,716,645
1513,788,808,553
199,5743,43,49
32,565,4,7
111647,66241,23782,31963
21,194,5,5
773,2182,788,534
0,18,0,0
4357,1157,587,1065
1646,2505,344,384
128,331,36,60
7626,11295,2017,2058
59,192,19,11
4028,1139,926,1734
5930,3310,1491,1490
76,41,19,27
135,328,119,51
2648,3985,1161,650
13874,12292,4074,3756
683,728,257,236
681,2339,593,284
110,1377,214,45
34,71,8,7
1516,620,119,224
369,115,241,189
1895,546,206,542
12867,9973,4555,4205
42,26,29,22
1408,1094,500,425
22,20,3,3
4696,2125,1601,1699
99,395,84,42
1169,1149,745,403
19316,24552,5067,4882
4668,5681,1819,1633
3,244,5,1
